Deputado,Tipo,Municipio,Votos No Municipio,Bairro,Votos No Bairro,RCAN_UESP,RUESP_CAN,RUESP
Carlinhos BNH,Estaduais,Belford Roxo,940,Andrade Araújo,20,0.008003,0.021277,0.011561
Carlinhos BNH,Estaduais,Belford Roxo,940,Areia Branca,123,0.006899,0.130851,0.082481
Carlinhos BNH,Estaduais,Belford Roxo,940,Barro Vermelho,26,0.002516,0.02766,0.047798
Carlinhos BNH,Estaduais,Belford Roxo,940,Centro,100,0.006928,0.106383,0.066779
Carlinhos BNH,Estaduais,Belford Roxo,940,das Graças,24,0.005862,0.025532,0.01894
Carlinhos BNH,Estaduais,Belford Roxo,940,Glaucia,14,0.002142,0.014894,0.030241
Carlinhos BNH,Estaduais,Belford Roxo,940,Heliópolis,166,0.008547,0.176596,0.089855
Carlinhos BNH,Estaduais,Belford Roxo,940,Itaipu,122,0.029166,0.129787,0.019351
Carlinhos BNH,Estaduais,Belford Roxo,940,Lote XV,6,0.000592,0.006383,0.046891
Carlinhos BNH,Estaduais,Belford Roxo,940,Maringá,22,0.001854,0.023404,0.05489
Carlinhos BNH,Estaduais,Belford Roxo,940,Nova Aurora,42,0.003446,0.044681,0.056389
Carlinhos BNH,Estaduais,Belford Roxo,940,Parque dos Ferreiras,1,0.00036,0.001064,0.012852
Carlinhos BNH,Estaduais,Belford Roxo,940,Pauline,6,0.000893,0.006383,0.03107
Carlinhos BNH,Estaduais,Belford Roxo,940,Piam,35,0.005851,0.037234,0.027674
Carlinhos BNH,Estaduais,Belford Roxo,940,Recantus,5,0.002657,0.005319,0.008707
Carlinhos BNH,Estaduais,Belford Roxo,940,Redentor,29,0.002219,0.030851,0.06046
Carlinhos BNH,Estaduais,Belford Roxo,940,Santa Amélia,8,0.001583,0.008511,0.023376
Carlinhos BNH,Estaduais,Belford Roxo,940,Santa Maria,3,0.001676,0.003191,0.008281
Carlinhos BNH,Estaduais,Belford Roxo,940,Santa Tereza,14,0.000847,0.014894,0.07648
Carlinhos BNH,Estaduais,Belford Roxo,940,Santo Antônio da Prata,27,0.008214,0.028723,0.015206
Carlinhos BNH,Estaduais,Belford Roxo,940,São Bernardo,5,0.00431,0.005319,0.005366
Carlinhos BNH,Estaduais,Belford Roxo,940,São Francisco de Assis,2,0.002674,0.002128,0.00346
Carlinhos BNH,Estaduais,Belford Roxo,940,São Vicente,5,0.000874,0.005319,0.026462
Carlinhos BNH,Estaduais,Belford Roxo,940,Shangri-lá,76,0.014077,0.080851,0.024977
Carlinhos BNH,Estaduais,Belford Roxo,940,Vale do Ipê,4,0.000576,0.004255,0.032138
Carlinhos BNH,Estaduais,Belford Roxo,940,Wona,16,0.001188,0.017021,0.062296
Carlinhos BNH,Estaduais,Belford Roxo,940,Xavantes,39,0.003949,0.041489,0.045693
Carlinhos BNH,Estaduais,Japeri,415,Alecrim,14,0.006082,0.033735,0.048905
Carlinhos BNH,Estaduais,Japeri,415,Beira-Rio,11,0.016442,0.026506,0.014213
Carlinhos BNH,Estaduais,Japeri,415,Caramujos,120,0.008299,0.289157,0.307174
Carlinhos BNH,Estaduais,Japeri,415,Centro de Engenheiro Pedreira,15,0.007271,0.036145,0.043827
Carlinhos BNH,Estaduais,Japeri,415,Centro de Japeri,46,0.012568,0.110843,0.077755
Carlinhos BNH,Estaduais,Japeri,415,Chacrinha,32,0.008663,0.077108,0.078477
Carlinhos BNH,Estaduais,Japeri,415,das Granjas,11,0.006962,0.026506,0.033566
Carlinhos BNH,Estaduais,Japeri,415,Delamare,2,0.001031,0.004819,0.041193
Carlinhos BNH,Estaduais,Japeri,415,Esperança,1,0.004167,0.00241,0.005099
Carlinhos BNH,Estaduais,Japeri,415,Marajoara,4,0.0033,0.009639,0.025748
Carlinhos BNH,Estaduais,Japeri,415,Nova Belém,94,0.015584,0.226506,0.128147
Carlinhos BNH,Estaduais,Japeri,415,Santa Amelia,6,0.002783,0.014458,0.045803
Carlinhos BNH,Estaduais,Japeri,415,Santa Inês,15,0.013043,0.036145,0.024431
Carlinhos BNH,Estaduais,Japeri,415,São Cosme e São Damião,21,0.006073,0.050602,0.073463
Carlinhos BNH,Estaduais,Japeri,415,São Jorge,23,0.009361,0.055422,0.052198
Carlinhos BNH,Estaduais,Nilópolis,772,Cabral,79,0.015076,0.102332,0.061708
Carlinhos BNH,Estaduais,Nilópolis,772,Cabuís,24,0.005316,0.031088,0.05317
Carlinhos BNH,Estaduais,Nilópolis,772,Centro de Olinda,126,0.010168,0.163212,0.145932
Carlinhos BNH,Estaduais,Nilópolis,772,Manoel Reis,389,0.008614,0.503886,0.531784
Carlinhos BNH,Estaduais,Nilópolis,772,Nossa Senhora de Fátima,56,0.010554,0.072539,0.062485
Carlinhos BNH,Estaduais,Nilópolis,772,Nova Cidade,53,0.010668,0.068653,0.058505
Carlinhos BNH,Estaduais,Nilópolis,772,Novo Horizonte,9,0.004536,0.011658,0.023364
Carlinhos BNH,Estaduais,Nilópolis,772,Paiol,36,0.006724,0.046632,0.063051
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Austin,1201,0.035865,0.035733,0.094184
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Boa Esperança,215,0.115158,0.006397,0.005251
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Cabuçu,537,0.030218,0.015977,0.049982
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Cacuia,888,0.089779,0.026421,0.027819
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Campo Alegre,3,0.006579,8.9e-05,0.001283
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Caonze,224,0.055528,0.006665,0.011346
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Carmary,1285,0.131592,0.038233,0.027464
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Centro,1718,0.06367,0.051116,0.075891
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Comendador Soares,1561,0.055347,0.046445,0.079325
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,Corumbá,3234,0.40854,0.096221,0.022264
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,da Cerâmica,192,0.122449,0.005713,0.00441
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,da Luz,481,0.046672,0.014311,0.028986
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,da Palhada,139,0.021794,0.004136,0.017938
Carlinhos BNH,Estaduais,Nova Iguaçu,33610,da Posse,1229,0.104082,0.036566,0.033211
